account_id,decision,reason,why_suggested,top_drivers,subject,body,evidence_used,referenceable_evidence,internal_only,snapshot_age_days,score,source
ACC-01491,no_send,evidence-too-stale (290d old),,rep contacts so far = 5 (raises) | company size = 188 (raises) | people using the trial = 3 (raises),,,,started a trial and 3 of your people are using it | had 1 person from your team ask us for something,"intent vendor coverage: yes, score 33 | web touchpoints in window: 0 | employee count: 188 | industry: Retail",290,0.2094,gate
ACC-00371,no_send,evidence-too-stale (256d old),,website visits = 8 (raises) | intent score 64 (raises) | started a trial (raises),,,,started a trial and 2 of your people are using it | had 4 people from your team ask us for something | worked with Cordilla before,"intent vendor coverage: yes, score 64 | web touchpoints in window: 8 | employee count: 22 | industry: Financial Services",256,0.2045,gate
ACC-01064,draft,,"This account surfaced on intent score 62, rep contacts so far = 5, website visits = 0. Some of that is vendor and web data you can act on but should not quote back to them.",intent score 62 (raises) | rep contacts so far = 5 (raises) | website visits = 0 (raises),Quick question about your retail workflows,"Hi there,

Picking this back up — our records show you started a trial and 1 of your people is using it. I work with teams sizing up whether workflow automation is worth the switching cost, and I can usually tell in one call whether it is.

Worth fifteen minutes to find out?",started a trial and 1 of your people is using it,started a trial and 1 of your people is using it | had 1 person from your team ask us for something,"intent vendor coverage: yes, score 62 | web touchpoints in window: 0 | employee count: 57 | industry: Retail",94,0.1869,template
ACC-01283,no_send,nothing-to-reference,,intent score 61 (raises) | website visits = 3 (raises) | rep contacts so far = 4 (raises),,,,,"intent vendor coverage: yes, score 61 | web touchpoints in window: 3 | employee count: 50 | industry: Retail",122,0.1757,gate
ACC-01111,draft,,"This account surfaced on intent score 58, website visits = 4, started a trial. Some of that is vendor and web data you can act on but should not quote back to them.",intent score 58 (raises) | website visits = 4 (raises) | started a trial (raises),Quick question about your manufacturing workflows,"Hi there,

Picking this back up — our records show you started a trial and 2 of your people are using it. I work with teams sizing up whether workflow automation is worth the switching cost, and I can usually tell in one call whether it is.

Worth fifteen minutes to find out?",started a trial and 2 of your people are using it,started a trial and 2 of your people are using it,"intent vendor coverage: yes, score 58 | web touchpoints in window: 4 | employee count: 44 | industry: Manufacturing",109,0.1527,template
ACC-00400,draft,,"This account surfaced on rep contacts so far = 4, intent score 24, website visits = 0. Some of that is vendor and web data you can act on but should not quote back to them.",rep contacts so far = 4 (raises) | intent score 24 (raises) | website visits = 0 (raises),Quick question about your software workflows,"Hi there,

Picking this back up — I saw that you had 1 person from your team ask us for something. I work with teams sizing up whether workflow automation is worth the switching cost, and I can usually tell in one call whether it is.

Worth fifteen minutes to find out?",had 1 person from your team ask us for something,had 1 person from your team ask us for something,"intent vendor coverage: yes, score 24 | web touchpoints in window: 0 | employee count: 109 | industry: Software",86,0.1522,template
ACC-00122,no_send,nothing-to-reference,,rep contacts so far = 6 (raises) | company size = 698 (raises) | no intent data at all (lowers),,,,,intent vendor coverage: none | web touchpoints in window: 5 | employee count: 698 | industry: Manufacturing,38,0.1482,gate
ACC-00646,no_send,evidence-too-stale (272d old),,rep contacts so far = 6 (raises) | company size = 637 (raises) | no intent data at all (lowers),,,,had 2 people from your team ask us for something,intent vendor coverage: none | web touchpoints in window: 3 | employee count: 637 | industry: Manufacturing,272,0.1482,gate
ACC-00657,no_send,evidence-too-stale (305d old),,intent score 24 (raises) | website visits = 8 (raises) | company size = 562 (raises),,,,had 4 people from your team ask us for something,"intent vendor coverage: yes, score 24 | web touchpoints in window: 8 | employee count: 562 | industry: Financial Services",305,0.1438,gate
ACC-00232,draft,,"This account surfaced on intent score 24, people using the trial = 3, started a trial. Some of that is vendor and web data you can act on but should not quote back to them.",intent score 24 (raises) | people using the trial = 3 (raises) | started a trial (raises),Quick question about your retail workflows,"Hi there,

Picking this back up — I saw that you started a trial and 3 of your people are using it. I work with teams sizing up whether workflow automation is worth the switching cost, and I can usually tell in one call whether it is.

Worth fifteen minutes to find out?",started a trial and 3 of your people are using it,started a trial and 3 of your people are using it | had 1 person from your team ask us for something,"intent vendor coverage: yes, score 24 | web touchpoints in window: 0 | employee count: 301 | industry: Retail",59,0.1408,template
